,name,mass,radius,orbper
147,GJ 3222 b,0.03694,,10.6666864
148,GJ 328 b,2.3,,4100.0
149,GJ 3293 b,0.07406,,30.5987
150,GJ 3293 c,0.06636,,122.6196
151,GJ 3293 d,0.02391,,48.1345
152,GJ 3293 e,0.01032,,13.2543
153,GJ 3323 b,0.00636,,5.3636
154,GJ 3323 c,0.00727,,40.54
155,GJ 3341 b,0.0208,,14.207
156,GJ 338 B b,0.03231,,24.45
157,GJ 3470 b,0.03958,0.346,3.336649
158,GJ 3473 b,0.00585,0.113,1.1980035
159,GJ 3473 c,0.02331,,15.509
160,GJ 3512 b,0.46,,203.69
161,GJ 3512 c,0.2,,1599.6
162,GJ 357 b,0.00579,0.109,3.93072
163,GJ 357 c,0.0107,,9.1247
164,GJ 357 d,0.01919,,55.661
165,GJ 3634 b,0.026,,2.64561
166,GJ 367 b,0.00172,0.064,0.321962
167,GJ 3779 b,0.02517,,3.0232
168,GJ 3929 b,0.00551,0.097,2.616235
169,GJ 3929 c,0.01797,,15.04
170,GJ 393 b,0.00538,,7.02679
171,GJ 3942 b,0.02246,,6.905
172,GJ 3998 b,0.00777,,2.64977
173,GJ 3998 c,0.0197,,13.74
174,GJ 411 b,0.00846,,12.9394
175,GJ 414 A b,0.0322,,51.625
176,GJ 414 A c,0.184,,744.7
177,GJ 422 b,0.03483,,20.129
178,GJ 4276 b,0.05213,,13.352
179,GJ 433 b,0.01901,,7.3705
180,GJ 433 c,0.10201,,5094.105
181,GJ 433 d,0.01643,,36.059
182,GJ 480 b,0.04153,,9.567
183,GJ 486 b,0.00887,0.116,1.467119
184,GJ 504 b,4.0,,
185,GJ 514 b,0.01636,,140.43
186,GJ 536 b,0.02051,,8.708
187,GJ 581 b,0.0511,,5.36879
188,GJ 581 c,0.0159,,12.9144
189,GJ 581 e,0.00521,,3.153
190,GJ 625 b,0.00887,,14.628
191,GJ 649 b,0.275,,604.8
192,GJ 667 C b,0.018,,7.1999
193,GJ 667 C c,0.013,,28.1
194,GJ 667 C e,0.008,,62.24
195,GJ 667 C f,0.008,,39.026
196,GJ 667 C g,0.014,,256.2
197,GJ 674 b,0.035,,4.6938
198,GJ 676 A b,5.77988,,1051.44520601
199,GJ 676 A d,0.01195,,3.60075682
200,GJ 676 A e,0.02105,,35.47357709
201,GJ 682 b,0.01384,,17.478
202,GJ 682 c,0.02737,,57.32
203,GJ 685 b,0.02832,,24.16
204,GJ 687 b,0.0553,,38.152
205,GJ 687 c,0.05034,,727.562
206,GJ 720 A b,0.04292,,19.466
207,GJ 740 b,0.00931,,2.37756
208,GJ 832 b,0.68,,3657.0
209,GJ 849 b,0.891,,1940.0
210,GJ 849 c,1.079,,5750.0
211,GJ 86 b,4.42,,15.76491
212,GJ 876 b,2.115,,61.03474
213,GJ 876 c,0.698,,30.22902
214,GJ 876 d,0.0184,,1.937916
215,GJ 876 e,0.05664,,124.4
216,GJ 887 b,0.01321,,9.262
217,GJ 887 c,0.02391,,21.789
218,GJ 896 A b,2.26,,284.39
219,GJ 9066 c,0.21,,771.36
220,GJ 96 b,0.06186,,73.94
221,GJ 9689 b,0.03036,,18.27
222,GJ 9714 b,9.60029,,19240.75467009
223,GJ 9827 b,0.01539,0.14,1.209
224,GJ 9827 c,0.00264,0.111,3.6480957
225,GJ 9827 d,0.01271,0.18,6.2014698
226,GU Psc b,11.3,1.265,
227,Gaia-1 b,1.68,1.229,3.052524
228,Gaia-2 b,0.817,1.322,3.6915224
229,Gl 378 b,0.04097,,3.822
230,Gl 49 b,0.01771,,13.8508
231,Gl 686 b,0.02084,,15.53
232,HAT-P-11 c,2.3,,3397.0
233,HAT-P-15 b,1.949,1.072,10.863502
234,HAT-P-17 c,2.88,,3972.0
235,HAT-P-39 b,0.569,1.571,3.54387
236,HAT-P-44 c,4.0,,872.2
237,HAT-P-58 b,0.372,1.332,4.0138379
238,HAT-P-59 b,1.54,1.123,4.1419771
239,HAT-P-60 b,0.574,1.631,4.7947813
240,HAT-P-61 b,1.057,0.899,1.90231289
241,HAT-P-62 b,0.761,1.073,2.6453235
242,HAT-P-63 b,0.614,1.119,3.377728
243,HAT-P-64 b,0.58,1.703,4.007232
244,HAT-P-67 b,0.34,2.085,4.8101025
245,HAT-P-68 b,0.724,1.072,2.29840551
246,HATS-10 b,0.585,0.969,3.312846
247,HATS-15 b,2.17,1.105,1.74748753
248,HATS-23 b,1.47,1.86,2.1605156
249,HATS-31 b,0.88,1.64,3.37796
250,HATS-37 A b,0.099,0.606,4.3315366
251,HATS-38 b,0.074,0.614,4.375021
252,HATS-48 A b,0.243,0.8,3.1316666
253,HATS-49 b,0.353,0.765,4.1480467
254,HATS-50 b,0.39,1.13,3.8297015
255,HATS-52 b,2.24,1.382,1.36665436
256,HATS-53 b,0.595,1.34,3.8537768
257,HATS-54 b,0.76,1.067,2.5441828
258,HATS-56 b,0.602,1.688,4.324799
259,HATS-58 A b,1.03,1.095,4.2180896
260,HATS-59 b,0.806,1.126,5.416081
261,HATS-59 c,12.7,,1422.0
262,HATS-61 b,3.4,1.195,7.817953
263,HATS-62 b,0.179,1.055,3.2768837
264,HATS-64 b,0.96,1.679,4.908897
265,HATS-65 b,0.821,1.501,3.105161
266,HATS-67 b,1.45,1.685,1.6091788
267,HATS-72 b,0.1254,0.722,7.3279474
268,HATS-74 A b,1.46,1.032,1.73185606
269,HATS-75 b,0.491,0.884,2.7886556
270,HATS-76 b,2.629,1.079,1.9416423
271,HATS-77 b,1.374,1.165,3.0876262
272,HATS-8 b,0.145,0.873,3.583893
273,HD 100655 b,1.61,,157.57001
274,HD 100777 b,1.03,,383.70001
275,HD 10180 c,0.0416,,5.75969
276,HD 10180 d,0.0378,,16.357
277,HD 10180 e,0.0805,,49.748
278,HD 10180 f,0.0722,,122.744
279,HD 10180 g,0.0732,,604.67
280,HD 10180 h,0.2066,,2205.0
281,HD 101930 b,0.25,,70.46
282,HD 102117 b,0.17,,20.8133
283,HD 102195 b,0.49,,4.079
284,HD 102272 b,4.94,,127.58
285,HD 102329 b,8.16,,778.09998
286,HD 102329 c,1.52,,1123.0
287,HD 102365 b,0.05,,122.1
288,HD 102843 b,0.35837,,3090.942
289,HD 102956 b,0.96,,6.4947
290,HD 103197 b,0.09,,47.84
291,HD 103720 b,0.62,,4.5557
292,HD 103774 b,0.367,,5.8881
293,HD 103891 b,1.44,,1919.0
294,HD 103949 b,0.03524,,120.878
295,HD 104067 b,0.203,,55.828
296,HD 10442 b,1.487,,1032.3
297,HD 104985 b,8.3,,199.505
298,HD 105618 b,0.07911,,10.02244605
299,HD 105779 b,0.64,,2412.0
300,HD 106252 b,10.0,,1535.0
301,HD 106270 b,10.13,,1888.0
302,HD 10647 b,0.94,,989.2
303,HD 106515 A b,11.0719,,3586.86089301
304,HD 106906 b,12.95,,
305,HD 10697 b,6.02397,,1075.37989939
306,HD 107148 b,0.203,,77.181
307,HD 107148 c,0.0626,,18.3267
308,HD 108147 b,0.261,,10.8985
309,HD 108341 b,3.5,,1129.0
310,HD 108863 b,2.414,,437.7
311,HD 108874 b,1.32,,395.38
312,HD 108874 c,1.139,,1743.2
313,HD 109246 b,0.86,,68.27
314,HD 109271 b,0.054,,7.8543
315,HD 109271 c,0.076,,30.93
316,HD 109286 b,2.99,,520.1
317,HD 109749 b,0.27,,5.239891
318,HD 10975 b,0.45,,283.8
319,HD 110113 b,0.01432,0.183,2.541
320,HD 110113 c,0.03304,,6.744
321,HD 11112 b,7.64087,,17244.90764393
322,HD 111232 b,8.26484,,1169.13201636
323,HD 111591 b,4.4,,1056.4
324,HD 111998 b,4.51,,825.9
325,HD 112640 b,5.0,,613.2
326,HD 113337 b,3.24706,,317.58638571
327,HD 11343 c,0.79726,,228.53731482
328,HD 113538 b,0.36,,663.2
329,HD 113538 c,0.93,,1818.0
330,HD 113996 b,6.3,,610.2
331,HD 114386 b,1.14,,937.70001
332,HD 114613 b,0.357,,4000.0
333,HD 114729 b,0.892,,1132.7
334,HD 114783 b,1.033,,492.56
335,HD 114783 c,0.659,,4340.0
336,HD 11505 b,8.33652,,32669.2224679
337,HD 11506 b,5.40173,,1613.74017306
338,HD 11506 c,0.3645,,223.95986342
339,HD 11506 d,7.69861,,14723.57452498
340,HD 115404 A b,0.09451,,10.49487691
341,HD 115404 A c,10.38165,,15319.22517076
342,HD 115954 b,8.29,,3700.0
343,HD 116029 b,1.4,,670.0
344,HD 116029 c,1.27,,907.0
345,HD 117207 b,1.87,,2615.0
346,HD 11755 b,5.63,,433.70001
347,HD 117618 b,0.174,,25.8
348,HD 118203 b,2.79,,6.1335
349,HD 11964 b,0.631,,1935.0
350,HD 11964 c,0.0766,,37.9196
351,HD 11977 b,6.5,,621.6
352,HD 120084 b,7.67534,,2085.10024027
353,HD 121504 b,1.51,,63.33
354,HD 12235 b,0.03251,,4.36304899
355,HD 12235 c,9.97867,,36336.70678753
356,HD 122562 c,0.22921,,84.96275604
357,HD 124330 b,0.75,,270.66
358,HD 12484 b,2.98,,58.83
359,HD 125271 b,11.05674,,14901.99295308
360,HD 125595 b,0.02,,9.6737
361,HD 125612 b,2.97102,,557.69994314
362,HD 125612 c,0.04775,,4.15466389
363,HD 125612 d,7.40145,,2822.726978
364,HD 12648 b,1.96,,133.60001
365,HD 126525 b,0.237,,960.41
366,HD 12661 b,2.283,,262.36
367,HD 12661 c,1.855,,1696.7
368,HD 126614 b,0.37745,,1257.25302691
369,HD 127506 b,0.08375,,65.78395386
370,HD 128311 b,2.0,,453.28
371,HD 128311 c,3.25,,917.5
372,HD 128356 b,0.89,,298.2
373,HD 129445 b,1.6,,1840.0
374,HD 130322 b,1.149,,10.70867
375,HD 131496 b,1.8,,896.0
376,HD 13167 b,3.31,,2613.0
377,HD 13189 b,10.95,,471.60001
378,HD 132406 b,5.38,,974.0
379,HD 132563 b,1.49,,1544.0
380,HD 133131 A b,1.42,,649.0
381,HD 133131 A c,0.42,,3568.0
382,HD 133131 B b,2.5,,5769.0
383,HD 134060 b,0.0318,,3.2696
384,HD 134060 c,0.0922,,1291.5646
385,HD 134987 b,1.624,,258.251
386,HD 134987 c,0.935,,5960.0
387,HD 135872 b,5.91708,,2422.32596749
388,HD 136352 b,0.01485,0.148,11.57797
389,HD 136352 c,0.03536,0.26,27.59221
390,HD 136352 d,0.02775,0.229,107.245
391,HD 136418 b,2.14,,464.29999
392,HD 136925 b,0.84,,4540.0
393,HD 13724 c,0.16127,,142.22894586
394,HD 137388 b,0.2,,330.0
395,HD 137496 b,0.01271,0.117,1.62116
396,HD 137496 c,7.66,,479.9
397,HD 13808 b,0.03524,,14.1815
398,HD 13808 c,0.03134,,53.753
399,HD 13908 b,0.865,,19.382
400,HD 13908 c,5.13,,931.0
401,HD 13931 b,1.911,,4449.0
402,HD 140901 b,0.04609,,9.02377598
403,HD 140901 c,5.30264,,7417.50547213
404,HD 141004 b,0.0429,,15.5083
405,HD 141399 b,0.452,,94.375
406,HD 141399 c,1.329,,201.776
407,HD 141399 d,1.263,,1074.8
408,HD 141399 e,0.644,,3336.0
409,HD 141937 b,9.69,,653.21997
410,HD 142 A d,0.25683,,108.45298959
411,HD 142 b,1.24444,,351.43394308
412,HD 142 c,11.07937,,10159.64279484
413,HD 142022 A b,4.44,,1928.0
414,HD 142245 b,3.07,,1299.0
415,HD 142415 b,1.67,,386.29999
416,HD 143105 b,1.21,,2.1974
417,HD 143361 b,3.532,,1039.15
418,HD 144899 b,0.06426,,40.43913587
419,HD 145377 b,6.02,,103.95
420,HD 145457 b,2.23,,176.3
421,HD 145675 c,4.98051,,15732.45889178
422,HD 145934 b,2.3994,,2751.53433458
423,HD 1461 b,0.0208,,5.77142
424,HD 1461 c,0.0222,,13.504
425,HD 147018 b,2.12,,44.236
426,HD 147018 c,6.56,,1008.0
427,HD 147379 b,0.097,,86.592
428,HD 147513 b,1.21,,528.4
429,HD 14787 b,1.121,,676.6
430,HD 147873 b,5.14,,116.596
431,HD 147873 c,2.3,,491.54
432,HD 148156 b,0.85,,1027.0
433,HD 148164 b,1.23,,328.55
434,HD 148164 c,5.16,,5062.0
435,HD 148427 b,1.3,,331.5
436,HD 149026 b,0.326,,2.8758911
437,HD 149143 b,1.33,,4.07182
438,HD 149806 b,12.2018,,16521.52777877
439,HD 150010 b,2.4,,562.0
440,HD 1502 b,2.75,,428.5
441,HD 150706 b,2.71,,5894.0
442,HD 151450 b,0.11719,,21.89287913
443,HD 151450 c,5.14148,,18144.7623572
444,HD 152079 b,2.661,,2918.92
445,HD 152581 b,1.869,,686.5
446,HD 152843 b,0.03637,0.304,11.6264
447,HD 152843 c,0.08652,0.52,24.38
448,HD 15337 b,0.02363,0.146,4.75615
449,HD 15337 c,0.02552,0.213,17.1784
450,HD 153557 b,0.06311,,7.29902668
451,HD 153557 c,0.05446,,15.27017677
452,HD 153950 b,2.95,,499.39999
453,HD 154088 b,0.02077,,18.56
454,HD 154345 b,0.905,,3420.0
455,HD 154672 b,4.73,,163.967
456,HD 154857 b,2.45,,408.60001
457,HD 154857 c,2.58,,3452.0
458,HD 155193 b,0.75,,352.65
459,HD 155233 b,2.6,,818.8
460,HD 155358 b,0.99,,194.3
461,HD 155358 c,0.82,,391.9
462,HD 155918 b,0.0236,,1.87567261
463,HD 155918 c,5.8203,,17202.19446178
464,HD 156098 b,0.05394,,21.85848995
465,HD 156098 c,5.22768,,7841.58389773
466,HD 156279 b,9.42403,,133.40355381
467,HD 156279 c,10.09039,,4818.25358194
468,HD 156411 b,0.74,,842.2
469,HD 156668 b,0.0158,,4.64275
470,HD 156668 c,0.0991,,811.3
471,HD 156846 b,10.67,,359.51001
472,HD 158038 b,1.53,,521.0
473,HD 158259 b,0.00698,,2.178
474,HD 158259 c,0.01762,,3.432
475,HD 158259 d,0.01702,,5.1980814
476,HD 158259 e,0.01913,,7.951
477,HD 158259 f,0.01932,,12.028
478,HD 159243 b,1.13,,12.62
479,HD 159243 c,1.9,,248.4
480,HD 159868 b,2.218,,1184.1
481,HD 159868 c,0.768,,351.0
482,HD 1605 b,0.934,,577.2
483,HD 1605 c,3.62,,2149.0
484,HD 160691 b,4.3,,645.0
485,HD 160691 c,4.4,,3947.0
486,HD 160691 e,7.0,,307.9
487,HD 161178 b,0.57,,279.3
