,name,mass,radius,orbper
639,HD 163296 b,1.0,,
640,HD 163296 c,0.3,,
641,HD 163607 b,0.7836,1.269,75.2203
642,HD 163607 c,2.201,1.202,1272.0
643,HD 16417 b,0.0529,,17.24
644,HD 164428 b,5.7,,599.6
645,HD 164509 b,0.48,,282.4
646,HD 164595 b,0.0516,,40.0
647,HD 164604 b,1.998,,641.47
648,HD 164922 b,0.365,,1207.0
649,HD 164922 c,0.041,,75.74
650,HD 164922 d,0.0001041,,12.458
651,HD 164922 e,0.0331,,41.763
652,HD 165155 b,2.89,,434.5
653,HD 1666 b,6.43,,270.0
654,HD 166724 b,3.53,,8100.0
655,HD 167042 b,1.6,,416.1
656,HD 168443 b,7.659,,58.11247
657,HD 168746 b,0.23,,6.403
658,HD 1690 b,6.1,,533.0
659,HD 169142 b,2.2,,
660,HD 169830 b,2.88,,225.62
661,HD 169830 c,4.04,,2102.0
662,HD 170469 b,0.67,,1145.0
663,HD 17092 b,4.6,,359.9
664,HD 171028 b,1.98,,550.0
665,HD 171238 b,2.6,,1523.0
666,HD 17156 b,3.191,1.095,21.2163979
667,HD 173416 b,2.7,,323.6
668,HD 175167 b,7.8,,1290.0
669,HD 175370 b,4.6,,349.5
670,HD 175541 b,0.61,,297.3
671,HD 175607 b,0.0283,,29.01
672,HD 176051 b,1.5,,1016.0
673,HD 17674 b,0.87,,623.8
674,HD 176986 b,0.0181,,6.4898
675,HD 176986 c,0.0289,,16.8191
676,HD 177830 A b,1.49,,406.6
677,HD 177830 A c,0.15,,110.9
678,HD 178911 B b,6.292,,71.487
679,HD 179079 b,0.076,,14.4708
680,HD 179949 b,0.92,1.05,3.0925
681,HD 180053 b,2.194,1.203,213.72
682,HD 18015 b,3.18,1.17,2278.0
683,HD 180902 b,1.685,1.221,510.9
684,HD 181234 b,8.37,,7462.06
685,HD 181342 b,2.54,1.19,564.1
686,HD 181433 b,0.0223,,9.3745
687,HD 181433 c,0.674,,1014.5
688,HD 181433 d,0.612,,7012.0
689,HD 181720 b,0.37,,956.0
690,HD 183263 b,3.67,,626.5
691,HD 183263 c,3.82,,2950.0
692,HD 183579 b,0.0302,0.3149,17.471278
693,HD 184010 b,0.3,,484.4
694,HD 184010 c,0.28,,483.3
695,HD 184010 d,0.46,,837.7
696,HD 185269 A b,0.94,,6.838
697,HD 187085 b,0.75,,986.0
698,HD 187123 b,0.52,,3.0965828
699,HD 187123 c,1.99,,3810.0
700,HD 18742 b,3.4,1.166,766.0
701,HD 188015 b,1.26,,456.46
702,HD 189567 b,0.0267,,14.288
703,HD 189567 c,0.022,,33.688
704,HD 189733 b,1.15,1.138,2.219
705,HD 190007 b,0.05179,,11.72
706,HD 190360 b,1.495,,2867.9
707,HD 190360 c,0.06381,,17.1186
708,HD 190647 b,1.9,,1038.1
709,HD 190984 b,3.1,,4885.0
710,HD 191806 b,8.52,,1606.3
711,HD 191939 b,0.0327,0.3024,8.88029
712,HD 191939 c,0.0227,0.2748,28.5805
713,HD 191939 d,0.0182,0.2712,38.3525
714,HD 191939 e,0.34,,101.5
715,HD 192263 b,0.733,,24.3587
716,HD 192699 b,2.096,1.206,340.94
717,HD 195019 b,3.7,,18.20163
718,HD 196050 b,2.83,,1316.24
719,HD 196067 b,6.9,,3638.0
720,HD 196885 A b,2.98,,1326.0
721,HD 197037 A b,0.79,,1035.7
722,HD 19994 A b,1.37,,466.2
723,HD 20003 b,0.0378,,11.849
724,HD 20003 c,0.0422,,33.823
725,HD 200964 b,1.85,,613.8
726,HD 200964 c,0.895,,825.0
727,HD 202432 b,1.9,,418.8
728,HD 202696 b,1.991,,528.2
729,HD 202696 c,1.917,,958.0
730,HD 202772 A b,1.008,1.562,3.30896
731,HD 203030 b,11.0,,
732,HD 203473 b,7.84,,1552.9
733,HD 20367 b,1.07,,500.0
734,HD 2039 b,6.11,,1120.0
735,HD 204313 b,4.28,,2024.1
736,HD 204313 c,0.0553,,34.905
737,HD 204313 d,1.68,,2831.6
738,HD 204941 b,0.266,,1733.0
739,HD 205739 b,1.37,,279.8
740,HD 206255 b,0.1076,,96.045
741,HD 206610 b,2.2,,610.0
742,HD 20781 b,0.0379,,29.15
743,HD 20781 c,0.0496,,85.131
744,HD 20781 d,0.0334,,29.158
745,HD 20781 e,0.0442,,85.5073
746,HD 20782 b,1.9,,591.9
747,HD 207832 A b,0.56,,161.97
748,HD 207832 A c,0.73,,1155.7
749,HD 207897 b,0.05,0.22348,16.202157
750,HD 20794 b,0.00887,,18.32
751,HD 20794 d,0.01108,,88.9
752,HD 20794 e,0.01501,,147.02
753,HD 208487 b,0.413,,129.8
754,HD 208487 c,0.46,,908.0
755,HD 208527 b,9.9,,875.5
756,HD 20868 b,1.99,,380.85
757,HD 208897 b,1.4,,352.7
758,HD 209458 b,0.69,1.38,3.52472
759,HD 210193 b,0.4817,,649.918
760,HD 210277 b,1.23,,442.1
761,HD 210702 b,1.808,1.216,354.1
762,HD 211403 b,5.54,,223.8
763,HD 211810 b,0.67,,1558.0
764,HD 211970 b,0.0409,,25.2
765,HD 212301 A b,0.4,1.07,2.245715
766,HD 212771 b,2.3,,373.3
767,HD 213240 b,4.5,,951.0
768,HD 213472 b,3.48,,16700.0
769,HD 213885 b,0.02778,0.15568,1.008035
770,HD 213885 c,0.06277,,4.78503
771,HD 21411 b,0.2073,,84.288
772,HD 215152 b,0.00628,,5.75942
773,HD 215152 c,0.004801,,7.28345
774,HD 215152 d,0.008511,,10.8642
775,HD 215152 e,0.01091,,25.1968
776,HD 215456 b,0.101,,191.99
777,HD 215456 c,0.246,,2277.0
778,HD 215497 b,0.02,,3.93404
779,HD 215497 c,0.33,,567.94
780,HD 216435 b,1.26,,1311.0
781,HD 216437 b,1.82,,1256.0
782,HD 216520 b,0.03228,,35.45
783,HD 216520 c,0.0297,,154.43
784,HD 216536 b,1.47,,148.6
785,HD 216770 b,0.65,,118.45
786,HD 21693 b,0.0322,,22.656
787,HD 21693 c,0.06472,,53.881
788,HD 217107 b,1.394,,7.126853
789,HD 217107 c,4.09,,5059.3
790,HD 218566 b,0.21,,225.7
791,HD 219134 b,0.01343,0.134,3.093292
792,HD 219134 c,0.004754,0.12624,6.765159
793,HD 219134 d,0.067,,46.71
794,HD 219134 e,0.223,,1842.0
795,HD 219134 f,0.028,,22.805
796,HD 219134 g,0.034,,94.2
797,HD 219134 h,0.308,,2198.0
798,HD 219139 b,0.78,,275.5
799,HD 219415 b,1.0,,2093.3
800,HD 219666 b,0.0522,0.4202,6.03607
801,HD 219828 b,0.0661,,3.834887
802,HD 220074 b,11.1,,672.1
803,HD 220197 b,0.2,,1728.0
804,HD 220689 b,1.06,,2209.0
805,HD 220773 b,1.45,,3724.7
806,HD 220842 A b,3.18,,218.47
807,HD 221287 b,3.09,,456.1
808,HD 221416 b,0.1904,0.836,14.2767
809,HD 221420 b,9.7,,22482.0
810,HD 221585 b,1.61,,1173.0
811,HD 222076 b,1.56,,871.0
812,HD 222155 b,1.9,,3999.0
813,HD 222582 b,7.75,,572.38
814,HD 224538 b,5.97,,1189.1
815,HD 224693 b,0.71,,26.73
816,HD 22496 b,0.01753,,5.09071
817,HD 22532 b,2.12,,872.6
818,HD 23079 b,2.45,,730.6
819,HD 23127 b,1.5,,1214.0
820,HD 231701 b,1.08,,141.89
821,HD 233604 b,6.575,,192.0
822,HD 233832 b,2.72,,4047.0
823,HD 23472 b,0.02618,0.16701,17.667087
824,HD 23472 c,0.01073,0.1668,29.79749
825,HD 23472 d,0.00173,0.0669,3.97664
826,HD 23472 e,0.00227,0.07298,7.90754
827,HD 23472 f,0.00242,0.10144,12.1621839
828,HD 23596 b,8.1,,1565.0
829,HD 238090 b,0.02168,,13.671
830,HD 238914 b,6.0,,4100.0
831,HD 240210 b,6.9,,501.75
832,HD 240237 b,5.3,,745.7
833,HD 24040 b,4.01,,3668.0
834,HD 24040 c,0.201,,515.4
835,HD 24064 b,9.4,,555.6
836,HD 24085 b,0.0371,,2.0455
837,HD 25015 b,4.48,,6019.0
838,HD 25171 b,0.95,,1845.0
839,HD 25723 b,2.51,,456.78
840,HD 25723 c,1.33,,2369.84
841,HD 260655 b,0.00673,0.1106,2.76953
842,HD 260655 c,0.00972,0.13677,5.70588
843,HD 26161 b,0.0425,,32000.0
844,HD 2638 b,0.48,1.04,3.444
845,HD 2685 b,1.18,1.44,4.12692
846,HD 26965 b,0.02665,,42.378
847,HD 27442 b,1.35,,415.2
848,HD 27631 b,1.45,,2208.0
849,HD 27894 b,0.665,,18.02
850,HD 27894 c,0.162,,36.07
851,HD 27894 d,5.415,,5174.0
852,HD 27969 b,4.8,,654.5
853,HD 28109 b,0.058195,0.19618,22.89104
854,HD 28185 b,5.7,,383.0
855,HD 28254 A b,1.16,,1116.0
856,HD 285507 b,0.917,,6.0962
857,HD 28678 b,1.7,,387.1
858,HD 29021 b,2.4,,1362.3
859,HD 290327 b,2.54,,2443.0
860,HD 29399 b,1.57,,892.7
861,HD 2952 b,1.6,,311.6
862,HD 30177 b,8.07,,2532.5
863,HD 30177 c,3.0,,6921.0
864,HD 30562 b,1.29,,1157.0
865,HD 30669 b,0.47,,1684.0
866,HD 30856 A b,1.8,,912.0
867,HD 31253 b,0.5,,466.0
868,HD 31527 b,0.0363,,16.557
869,HD 31527 c,0.0498,,51.2
870,HD 31527 d,0.0519,,274.2
871,HD 3167 b,0.0158,0.152,0.959624
872,HD 3167 c,0.0308,0.255,29.83832
873,HD 3167 d,0.0217,,8.492
874,HD 3167 e,0.03065,,102.09
875,HD 32518 b,3.04,,157.54
876,HD 32963 b,0.7,,2372.0
877,HD 330075 b,0.62,1.06,3.6413
878,HD 331093 b,1.5,,621.62
879,HD 33142 b,1.261,1.235,329.7
880,HD 33142 c,0.885,1.277,811.5
881,HD 33142 d,0.2,,89.9
882,HD 332231 b,0.244,0.867,18.71204
883,HD 33283 b,0.33,0.99,18.1801
884,HD 33564 b,9.1,,388.0
885,HD 33844 b,1.96,,551.4
886,HD 33844 c,1.75,,916.0
887,HD 34445 b,0.629,,1056.7
888,HD 34445 c,0.168,,214.67
889,HD 34445 d,0.097,,117.87
890,HD 34445 e,0.0529,,49.175
891,HD 34445 f,0.119,,676.8
892,HD 34445 g,0.38,,5700.0
893,HD 35759 b,3.76,,82.467
894,HD 360 b,0.75,,273.1
895,HD 3651 b,0.228,,62.25
896,HD 37124 b,0.675,,154.378
897,HD 37124 c,0.652,,885.5
898,HD 37124 d,0.696,,1862.0
899,HD 37605 b,2.813,,55.01307
900,HD 37605 c,3.366,,2720.0
901,HD 38283 b,0.34,,363.2
902,HD 38529 b,0.78,,14.3104
903,HD 38677 b,0.07636,,18.57
904,HD 38677 c,0.0302,0.16184,6.584
905,HD 38677 d,0.01054,0.12428,2.882
906,HD 38677 e,0.01299,0.13123,5.516
907,HD 38801 b,10.13,1.134,686.8
908,HD 38858 b,0.0961,,407.15
909,HD 39194 b,0.013,,5.6368
910,HD 39194 c,0.0198,,14.03
911,HD 39194 d,0.013,,33.91
912,HD 39855 b,0.0267,,3.2498
913,HD 40307 b,0.012,,4.3114
914,HD 40307 c,0.0202,,9.621
915,HD 40307 d,0.0275,,20.412
916,HD 40307 e,0.011,,34.62
917,HD 40307 f,0.0114,,51.68
918,HD 40307 g,0.0223,,197.8
919,HD 40956 b,2.7,,578.6
920,HD 40979 b,4.01,,264.1
921,HD 41004 A b,2.54,,963.0
922,HD 4113 A b,1.56,,526.62
923,HD 42012 b,1.6,,857.5
924,HD 4203 b,1.82,,437.05
925,HD 4203 c,2.17,,6700.0
926,HD 4208 b,0.804,,828.0
927,HD 42618 b,0.0453,,149.61
928,HD 42936 b,0.00812,,6.6732
929,HD 4308 b,0.0405,,15.609
930,HD 4313 b,2.3,,356.0
931,HD 43197 b,0.6,,327.8
932,HD 43691 A b,2.57,,36.99913
933,HD 44219 b,0.58,,472.3
934,HD 44385 b,5.9,,473.5
935,HD 45184 b,0.04,,5.8872
936,HD 45184 c,0.0277,,13.1354
937,HD 45350 b,1.79,,890.76
938,HD 45364 b,0.1872,,226.93
939,HD 45364 c,0.6579,,342.85
940,HD 45652 b,0.47,,43.6
941,HD 46375 A b,0.23,1.02,3.02358
942,HD 47186 b,0.07167,,4.0845
943,HD 47186 c,0.35061,,1353.6
944,HD 4732 A b,2.37,,360.2
945,HD 4732 A c,2.37,,2732.0
946,HD 47366 b,1.75,,363.3
947,HD 47366 c,1.86,,684.7
948,HD 47536 b,5.0,,430.0
949,HD 48265 b,1.16,,700.0
950,HD 4917 b,1.615,1.224,400.5
951,HD 49674 b,0.1,0.98,4.94739
952,HD 50499 b,1.45,,2483.7
953,HD 50499 c,2.93,,8620.0
954,HD 50554 b,5.16,,1293.0
955,HD 51608 b,0.04,,14.071
956,HD 51608 c,0.0521,,95.87
957,HD 52265 b,1.21,,119.27
958,HD 5278 b,0.0245,0.2186,14.33902
959,HD 5319 b,1.94,,675.0
960,HD 5319 c,1.15,,886.0
961,HD 55696 b,3.87,,1827.0
962,HD 5583 b,5.78,,139.35
963,HD 5608 b,1.681,1.222,779.9
964,HD 564 b,0.33,,492.3
965,HD 5891 b,7.6,,177.11
966,HD 59686 A b,6.92,,299.36
967,HD 60292 b,6.5,,495.4
968,HD 60532 b,3.15,,201.83
969,HD 60532 c,7.46,,607.06
970,HD 62509 b,2.9,,589.64
971,HD 63454 b,0.39,1.06,2.81747
972,HD 63765 b,0.64,,358.0
973,HD 63935 b,0.034,0.2668,9.058811
974,HD 63935 c,0.0349,0.259,21.4023
975,HD 64121 b,2.56,,623.0
976,HD 6434 b,0.39,,21.998
977,HD 65216 A b,1.295,,577.6
978,HD 65216 A c,2.03,,5370.0
979,HD 66141 b,6.0,,480.5
980,HD 66428 b,2.82,,1973.0
981,HD 66428 c,0.085,,39000.0
982,HD 67087 b,3.06,,352.2
983,HD 67087 c,4.85,,2374.0
984,HD 6718 b,1.56,,2496.0
985,HD 68402 b,3.07,,1103.0
986,HD 68988 b,1.86,,6.2771
987,HD 69123 b,3.04,,1193.3
988,HD 69830 b,0.0321,,8.6682
989,HD 69830 c,0.0371,,31.601
990,HD 69830 d,0.0569,,200.57
991,HD 70642 b,2.0,,2231.0
992,HD 7199 b,0.29,,615.0
993,HD 72490 b,1.768,1.218,858.0
994,HD 72659 b,3.15,,3658.0
995,HD 72892 b,5.45,,39.475
996,HD 73267 b,3.06,,1260.0
997,HD 73526 b,2.25,,188.9
998,HD 73526 c,2.25,,379.1
999,HD 73534 b,1.15,,1800.0
1000,HD 73583 b,0.0321,0.2489,6.398042
1001,HD 73583 c,0.0302,0.2436,18.8805
1002,HD 74156 b,1.778,,51.6385
1003,HD 74156 c,7.997,,2448.9
1004,HD 7449 A b,0.508,,1255.5
1005,HD 75289 b,0.47,1.03,3.50928
1006,HD 75784 b,1.15,,341.7
1007,HD 75784 c,5.6,,5040.0
1008,HD 75898 b,2.51,,418.2
1009,HD 76700 b,0.23,0.99,3.97101
1010,HD 76920 b,3.13,,415.89
1011,HD 77338 b,0.5,,5.7561
1012,HD 79181 b,0.64,,273.1
1013,HD 79211 b,0.03231,,24.45
1014,HD 7924 b,0.0273,1.05,5.39792
1015,HD 7924 c,0.0247,,15.299
1016,HD 7924 d,0.0203,,24.451
1017,HD 79498 b,1.34,,1966.0
1018,HD 80606 b,4.1641,1.032,111.436765
1019,HD 80653 b,0.01762,0.144,0.719573
1020,HD 80869 b,4.86,,1711.7
1021,HD 81040 b,6.86,,1001.7
1022,HD 81688 b,1.77,,184.02
1023,HD 82886 b,1.3,,705.0
1024,HD 82943 b,4.8,,442.4
1025,HD 82943 c,4.78,,219.3
1026,HD 82943 d,0.29,,1078.0
1027,HD 8326 b,0.2095,,159.0
1028,HD 83443 b,0.402,1.04,2.985628
1029,HD 83443 c,1.35,,8241.0
1030,HD 8535 b,0.68,,1313.0
1031,HD 85390 b,0.099,,799.52
1032,HD 85512 b,0.011,,58.43
1033,HD 85628 A b,3.1,1.53,2.82406
1034,HD 8574 b,2.11,,227.55
1035,HD 86081 A b,1.5,1.08,1.99809
1036,HD 86226 b,0.45,,1628.0
1037,HD 86264 b,7.0,,1475.0
1038,HD 86950 b,3.6,,1270.0
1039,HD 87646 A b,12.4,,13.481
1040,HD 87883 b,12.1,,2754.0
1041,HD 88133 b,0.3,1.0,3.41566
1042,HD 89307 b,2.0,,2199.0
1043,HD 89345 b,0.1123,0.612,11.81399
1044,HD 89744 b,8.35,,256.78
1045,HD 89744 c,5.36,,6974.0
1046,HD 90156 b,0.057,,49.77
1047,HD 9174 b,1.11,,1179.0
1048,HD 92788 b,3.76,,325.8
1049,HD 92788 c,3.76,,11611.3
1050,HD 93083 b,0.37,,143.58
1051,HD 93385 A b,0.0132,,7.3426
1052,HD 93385 A c,7.1,,13.18
1053,HD 93385 A d,0.0318,,46.025
1054,HD 9446 b,0.687,,30.0608
1055,HD 9446 c,1.7,,189.6
1056,HD 94834 b,1.26,1.242,1576.0
1057,HD 95086 b,2.6,,
1058,HD 95089 b,1.2,,507.0
1059,HD 95089 c,3.97,,1860.0
1060,HD 95127 b,5.01,,482.0
1061,HD 95338 b,0.12406,0.3551,55.086
1062,HD 95544 b,6.84,,2172.0
1063,HD 9578 b,0.62,,494.0
1064,HD 95872 b,4.6,,4375.0
1065,HD 96063 b,0.9,,361.1
1066,HD 96127 b,4.0,,647.3
1067,HD 96167 b,0.68,,498.9
1068,HD 96700 b,0.028,,8.1245
1069,HD 96700 c,0.011,,19.88
1070,HD 96700 d,0.04,,103.5
1071,HD 96992 b,1.14,,514.0
1072,HD 97619 b,3.5,,665.9
1073,HD 97658 b,0.02457,0.20047,9.489295
1074,HD 98219 b,1.8,,436.9
1075,HD 98649 b,6.79,,6023.0
1076,HD 98736 b,2.33,,968.8
1077,HD 99109 b,0.502,,439.3
1078,HD 99283 b,0.97,,310.4
1079,HD 99492 b,0.079,,17.054
1080,HD 99706 b,1.4,,868.0
1081,HD 99706 c,5.69,,1123.0
1082,HIP 105854 b,5.35,,184.2
1083,HIP 107772 b,0.0406,,55.19
1084,HIP 107773 b,1.98,,144.3
1085,HIP 109384 b,1.56,,499.48
1086,HIP 109600 b,2.68,,232.08
1087,HIP 114933 b,1.94,,1481.6
1088,HIP 116454 b,0.03719,0.226,9.1265
1089,HIP 11915 b,0.99,,3830.0
1090,HIP 12961 b,0.35,,57.435
1091,HIP 14810 b,3.88,,6.673855
1092,HIP 14810 c,1.28,,147.73
1093,HIP 14810 d,0.57,,962.0
1094,HIP 3206 b,0.173,,1211.0
1095,HIP 34222 b,0.83,,159.986
1096,HIP 35173 b,0.04,,41.516
1097,HIP 38594 b,0.0255,,60.722
1098,HIP 38594 c,0.1523,,3477.8
1099,HIP 4845 b,0.0453,,34.15
1100,HIP 48714 b,0.0721,,17.818
1101,HIP 5158 b,1.44,,345.63
1102,HIP 54373 b,0.02712,,7.76
1103,HIP 54373 c,0.03914,,15.144
1104,HIP 56640 b,3.67,,2574.9
1105,HIP 57050 b,0.304,,41.38
1106,HIP 57050 c,0.227,,532.635
1107,HIP 57274 b,0.036,,8.1352
1108,HIP 57274 c,0.41,,32.03
1109,HIP 57274 d,0.527,,431.7
1110,HIP 5763 b,0.51,,30.014
1111,HIP 63242 b,9.18,,124.6
1112,HIP 63734 b,11.0,,
1113,HIP 65407 b,0.428,,28.125
1114,HIP 65407 c,0.784,,67.3
1115,HIP 65426 b,7.1,1.5,
1116,HIP 65A b,3.213,2.03,0.9809734
1117,HIP 67522 b,5.0,0.8984,6.959503
1118,HIP 67537 b,11.1,,2592.5
1119,HIP 67851 b,1.38,,88.9
1120,HIP 67851 c,5.98,,2131.8
1121,HIP 68468 b,0.011,,1.8372
1122,HIP 68468 c,0.094,,194.0
1123,HIP 70849 b,9.0,,10000.0
1124,HIP 71135 b,0.0592,,87.19
1125,HIP 74890 b,2.4,,822.3
1126,HIP 75092 b,1.79,,926.4
1127,HIP 75458 b,11.07,,510.855
1128,HIP 77257 b,0.0428,,15.5083
1129,HIP 79431 b,2.1,,111.7
1130,HIP 8541 b,5.59,,1560.0
1131,HIP 86221 b,0.71,,2.224
1132,HIP 89474 b,0.0299,,15.1479
1133,HIP 90988 b,1.96,,453.9
1134,HIP 91258 b,1.068,,5.0505
1135,HIP 94235 b,1.192,0.2862,7.712121
1136,HIP 97166 b,0.063,0.2444,10.28891
1137,HIP 97166 c,9.9,,16.84
1138,HR 5183 b,3.23,,27400.0
1139,HR 810 b,2.26,,320.1
1140,HR 8799 b,7.0,1.2,164250.0
1141,HR 8799 c,8.3,1.3,82145.0
1142,HR 8799 d,8.3,1.2,41054.0
1143,HR 8799 e,9.6,1.17,18000.0
1144,IC 4651 9122 b,6.3,,734.0
1145,ITG 15B,9.0,,
1146,J1324+63,11.5,1.23,
1147,K2-10 b,0.085,0.343,19.3044
1148,K2-105 b,0.094,0.301,8.267704
1149,K2-106 b,0.0263,0.162,0.571331
1150,K2-106 c,0.018,0.244,13.339079
1151,K2-107 b,0.84,1.426,3.313959
1152,K2-108 b,0.187,0.476,4.733999
1153,K2-110 b,0.0525,0.228,13.86387
1154,K2-111 b,0.01664,0.162,5.3518
1155,K2-111 c,0.03555,,15.6785
1156,K2-113 b,1.28,1.083,5.817685
1157,K2-114 b,1.85,0.952,11.391013
1158,K2-124 b,0.033,0.259,6.413651
1159,K2-132 b,0.49,1.3,9.1751
1160,K2-133 b,0.0069,0.12,3.07133
1161,K2-133 c,0.01,0.143,4.86784
1162,K2-133 d,0.026,0.179,11.02454
1163,K2-137 b,0.5,0.079,0.179715
1164,K2-138 b,0.0098,0.14,2.35322
1165,K2-138 c,0.0198,0.225,3.55987
1166,K2-138 d,0.0249,0.237,5.40478
1167,K2-138 e,0.0409,0.294,8.26144
1168,K2-138 f,0.005,0.251,12.75759
1169,K2-138 g,0.0135,0.2688,41.96797
1170,K2-139 b,0.381,0.813,28.380619
1171,K2-140 b,0.93,1.093,6.56918
1172,K2-141 b,0.01598,0.135,0.2803244
1173,K2-141 c,0.02328,0.624,7.7485
1174,K2-146 b,0.01816,0.183,2.6446
1175,K2-146 c,0.02358,0.195,4.00498
1176,K2-155 b,0.0148,0.161,6.342
1177,K2-155 c,0.0205,0.232,13.85
1178,K2-155 d,0.0154,0.17,40.718
1179,K2-174 b,0.0289,0.232,19.562307
1180,K2-18 b,0.02807,0.211,32.939623
1181,K2-18 c,0.02363,,8.962
1182,K2-180 b,0.036,0.206,8.867209
1183,K2-182 b,0.063,0.24,4.7369683
1184,K2-19 b,0.1019,0.691,7.9194
1185,K2-19 c,0.034,0.434,11.90715
1186,K2-19 d,0.031,0.102,2.50856
1187,K2-199 b,0.0217,0.1543,3.2253993
1188,K2-199 c,0.039,0.2543,7.3744897
1189,K2-2016-BLG-0005L b,1.1,,
1190,K2-216 b,0.02517,0.156,2.1748
1191,K2-22 b,1.4,0.223,0.381078
1192,K2-222 b,0.025,0.2097,15.3885
1193,K2-229 b,0.00815,0.102,0.58426
1194,K2-229 c,0.067,0.181,8.32727
1195,K2-229 d,0.079,0.2364,31.0
1196,K2-231 b,0.0227,0.223,13.841901
1197,K2-232 b,0.398,1.0,11.168454
1198,K2-233 b,0.0104,0.125,2.46746
1199,K2-233 d,0.0261,0.236,24.3662
1200,K2-237 b,1.236,1.642,2.1805577
1201,K2-238 b,0.86,1.3,3.20466
1202,K2-239 b,0.0044,0.098,5.24
1203,K2-239 c,0.0028,0.089,7.775
1204,K2-239 d,0.0041,0.098,10.115
1205,K2-24 b,0.0661,0.482,20.88977
1206,K2-24 c,0.085,0.669,42.3391
1207,K2-240 b,0.0157,0.178,6.034
1208,K2-240 c,0.0145,0.161,20.523
1209,K2-25 b,0.0771,0.306,3.484552
1210,K2-260 b,1.42,1.552,2.6266657
1211,K2-261 b,0.223,0.85,11.63344
1212,K2-263 b,0.0466,0.215,50.818947
1213,K2-265 b,0.02058,0.153,2.369172
1214,K2-266 b,0.0343,0.294,0.658524
1215,K2-266 c,0.00091,0.063,7.814
1216,K2-266 d,0.02958,0.261,14.697
1217,K2-266 e,0.02611,0.244,19.482
1218,K2-27 b,0.09722,0.4,6.771315
1219,K2-280 b,0.1167,0.684,19.895202
1220,K2-285 b,0.03046,0.231,3.471745
1221,K2-285 c,0.04933,0.315,7.138048
1222,K2-285 d,0.02045,0.221,10.45582
1223,K2-285 e,0.03367,0.174,14.76289
1224,K2-286 b,0.0214,0.187,27.359
1225,K2-287 b,0.315,0.847,14.893291
1226,K2-289 b,0.1529,0.812,13.156969
1227,K2-29 b,0.73,1.19,3.2588321
1228,K2-290 b,0.0343,0.273,9.21165
1229,K2-290 c,0.774,1.006,48.36685
1230,K2-291 b,0.02042,0.142,2.225177
1231,K2-292 b,0.07709,0.235,16.9841
1232,K2-295 b,0.335,0.897,4.024867
1233,K2-3 b,0.02039,0.194,10.054626
1234,K2-3 c,0.00673,0.165,24.646582
1235,K2-3 d,0.00881,0.135,44.55646
1236,K2-30 b,0.623,1.039,4.098503
1237,K2-308 b,0.025,0.884,3.38628
1238,K2-31 b,1.774,1.06,1.25785
1239,K2-314 b,0.02753,0.174,3.5951
1240,K2-314 c,0.04616,0.3274,15.624
1241,K2-314 d,0.03203,0.3515,35.747
1242,K2-32 b,0.047,0.443,8.991828
1243,K2-32 c,0.0255,0.244,20.66186
1244,K2-32 d,0.0211,0.292,31.7142
1245,K2-32 e,0.0066,0.09,4.34882
1246,K2-33 b,3.7,0.45,5.424865
1247,K2-34 b,1.76,1.245,2.995633
1248,K2-36 b,0.01227,0.128,1.422614
1249,K2-36 c,0.02454,0.2783,5.3410507
1250,K2-38 b,0.06,0.17,4.01593
1251,K2-38 c,0.03115,0.216,10.56103
1252,K2-39 b,0.09,0.56,4.60543
1253,K2-52 b,0.4046,1.606,3.535055
1254,K2-53 b,0.0289,0.232,12.20772
1255,K2-55 b,0.138,0.341,2.849258
1256,K2-60 b,0.426,0.683,3.00265
1257,K2-66 b,0.06702,0.222,5.06963
1258,K2-77 b,1.9,0.205,8.199796
1259,K2-79 b,0.0371,0.3649,10.99475
1260,K2-87 b,0.1192,0.678,9.726618
1261,K2-90 b,0.028,0.232,13.733314
1262,K2-95 b,1.67,0.346,10.134016
1263,K2-97 b,1.1,0.947,8.406726
1264,K2-98 b,0.101,0.464,10.136448
1265,K2-99 b,0.87,1.046,18.24783
1266,K2-99 c,8.4,,522.2
1267,KELT-10 b,0.679,1.399,4.166285
1268,KELT-11 b,0.195,1.3,4.736529
1269,KELT-12 b,0.95,1.79,5.0316144
1270,KELT-15 b,0.91,1.443,3.329441
1271,KELT-16 b,2.74,1.415,0.9689951
1272,KELT-17 b,1.31,1.525,3.0801716
1273,KELT-18 b,1.18,1.57,2.8717518
1274,KELT-19 A b,4.07,1.91,4.6117093
1275,KELT-2 A b,1.486,1.306,4.1137914
1276,KELT-21 b,3.91,1.586,3.6127647
1277,KELT-22A b,3.69,1.2,1.38665318
1278,KELT-23A b,0.938,1.323,2.255251
1279,KELT-3 b,1.418,1.333,2.7033902
1280,KELT-4 A b,0.878,1.706,2.9895933
1281,KELT-6 b,0.442,1.18,7.845582
1282,KELT-6 c,3.71,,1276.0
1283,KELT-7 b,1.24,1.293,2.734784
1284,KELT-8 b,0.867,1.86,3.24406
1285,KELT-9 b,2.88,1.84,1.4811235
1286,KIC 10068024 b,2.0,,2.073549
1287,KIC 5095269 (AB) b,7.698,,237.70817
1288,KIC 5479689 b,0.5,,1.701531
1289,KIC 7821010 b,2.6,,991.0
1290,KMT-2016-BLG-1107 b,3.283,,
1291,KMT-2016-BLG-1397 b,7.0,,
1292,KMT-2016-BLG-1820 b,4.57,,
1293,KMT-2016-BLG-1836L b,2.2,,
1294,KMT-2016-BLG-2364 b,3.93,,
