,name,mass,radius,orbper
146,FL Lyr b,9.0,,4400.0
147,Fomalhaut b,0.208,,320000.0
148,G 264-012 b,0.0079,,2.30538
149,G 264-012 c,0.0118,,8.0518
150,G 9-40 b,0.013,0.17,5.7459982
151,GJ 1061 b,0.00453,,3.204
152,GJ 1061 c,0.00547,,6.689
153,GJ 1061 d,0.00494,,12.434
154,GJ 1132 b,0.00522,0.1035,1.628931
155,GJ 1132 c,0.00831,,8.929
156,GJ 1214 b,0.02571,0.24463,1.580404497
157,GJ 1252 b,0.00415,0.1053,0.5182349
158,GJ 1265 b,0.0233,,3.6511
159,GJ 143 b,0.0714,0.2329,35.61253
160,GJ 143 c,0.01164,0.07958,7.78993
161,GJ 15A b,0.00953,,11.4407
162,GJ 15A c,0.113,,7555.0
163,GJ 160.2 b,0.0245,,9.7471
164,GJ 163 b,0.0311,,8.6312
165,GJ 163 c,0.0239,,25.637
166,GJ 163 d,0.0636,,604.0
167,GJ 163 e,0.0428,,349.0
168,GJ 163 f,0.0214,,109.5
169,GJ 176 b,0.025,,8.7748
170,GJ 176 c,0.0233,,28.586
171,GJ 179 b,0.7391,,2288.0
172,GJ 179 c,0.0154,,3.4798
173,GJ 180 b,0.02124,,17.132
174,GJ 180 c,0.0201365509864,,24.329
175,GJ 180 d,0.02357,,106.341
176,GJ 2030 b,0.014,,
177,GJ 2030 c,12.934,,25635.0
178,GJ 2056 b,0.051,,69.971
179,GJ 2056 c,0.4443,,2982.394
180,GJ 221 e,0.0104,,2.3946
181,GJ 229 A b,0.03153,,523.242
182,GJ 229 A c,0.02495,,122.005
183,GJ 229 B,1.61971,,52890.0
184,GJ 251 b,0.013,,14.238
185,GJ 27.1 b,0.0409023691911,,15.819
186,GJ 273 b,0.0069,,18.64
187,GJ 273 c,0.0038,,4.72322
188,GJ 273 d,0.034,,413.9
189,GJ 273 e,0.0293,,542.0
190,GJ 3021 b,3.37,,133.71
191,GJ 3082 b,0.02759,,11.942
192,GJ 3090 b,0.01051,0.19,2.8531054
193,GJ 3138 b,0.0132,,5.974
194,GJ 3138 c,0.0056,,1.22003
195,GJ 3138 d,0.033,,257.8
196,GJ 317 b,1.7528,,695.66
197,GJ 317 c,1.644,,6739.323
198,GJ 328 b,2.3,,4100.0
199,GJ 3293 b,0.07406,,30.5987
200,GJ 3293 c,0.06636,,122.6196
201,GJ 3293 d,0.024,,48.1345
202,GJ 3293 e,0.0103,,13.2543
203,GJ 3323 b,0.00636,,5.3636
204,GJ 3323 c,0.00727,,40.54
205,GJ 3341 b,0.35717,,14.207
206,GJ 3470 b,0.03958,0.37380742940036,3.336649
207,GJ 3473 b,0.00585,0.11277,1.1980035
208,GJ 3473 c,0.0214,,15.509
209,GJ 3512 b,0.46,,203.69
210,GJ 3512 c,0.2,,1599.6
211,GJ 357 b,0.006566,0.10411,3.93086
212,GJ 357 c,0.01158,,9.1246
213,GJ 357 d,0.0227,,55.698
214,GJ 3634 b,0.022,,2.64561
215,GJ 367  b,0.00047,0.0526,0.3219659
216,GJ 3779 b,0.0252,,3.0232
217,GJ 3929 b,0.00381,0.1026,2.6162745
218,GJ 3929 c,0.01658,,14.303
219,GJ 393 b,0.00538,,7.02679
220,GJ 3942 b,0.0225,,6.905
221,GJ 3998 b,0.00777,,2.64977
222,GJ 3998 c,0.0197,,13.74
223,GJ 414 A b,0.02762,0.2632,50.817
224,GJ 414 A c,0.17705,0.7833,748.3
225,GJ 422 b,0.03285,,20.129
226,GJ 4276 b,0.0481,,13.35
227,GJ 4276 c,0.0135,,6.675
228,GJ 433 b,0.01869,,7.3708
229,GJ 433 c,0.09055,,4874.0
230,GJ 433 d,4.94,,36.052
231,GJ 436 b,0.07,0.38,2.64394
232,GJ 480 b,0.0415,,9.567
233,GJ 486 b,0.00887,0.11643,1.467119
234,GJ 504 b,4.0,0.96,
235,GJ 536 b,0.0169,,8.7076
236,GJ 581 b,0.04782,,5.368
237,GJ 581 c,0.017783,,12.919
238,GJ 581 e,0.005214,,3.153
239,GJ 625 b,0.0095,,14.638
240,GJ 649 b,0.328,,598.3
241,GJ 649 c,0.03,,4.4762
242,GJ 667 C b,0.0176,,7.2004
243,GJ 667 C c,0.012,,28.14
244,GJ 667 C e,0.0085,,62.24
245,GJ 667 C f,0.0085,,39.026
246,GJ 667 C g,0.0145,,256.2
247,GJ 674 b,0.04,1.13,4.6944
248,GJ 676 A b,4.733,,1052.1
249,GJ 676 A c,6.8,,7337.0
250,GJ 676 A d,0.014,,3.6
251,GJ 676 A e,0.036,,35.37
252,GJ 682 b,0.0138438788031,,17.478
253,GJ 682 c,0.027365121,,57.32
254,GJ 685 b,0.0283,,24.16
255,GJ 687 b,0.0541,,38.142
256,GJ 687 c,0.05,,727.562
257,GJ 720A b,0.04292,,19.47
258,GJ 740 b,0.00931,,2.37756
259,GJ 752 A b,0.0384,,105.9
260,GJ 785 b,0.0532,,74.72
261,GJ 785 c,0.076,,525.8
262,GJ 832 b,0.689,,3660.0
263,GJ 832 c,0.017009,,35.68
264,GJ 849 b,0.9,,1914.0
265,GJ 849 c,0.77,,7049.0
266,GJ 86 b,4.27,,15.766
267,GJ 876 b,3.6,,61.03474
268,GJ 876 c,0.698,,30.126
269,GJ 876 d,0.021741,,1.938
270,GJ 876 e,0.04855,,124.4
271,GJ 887 b,0.0132,,9.252
272,GJ 887 c,0.0239,,21.789
273,GJ 896A b,2.26,,
274,GJ 9066 b,0.0972,,241.883
275,GJ 9066 c,0.23,,772.05
276,GJ 96 b,0.06186,,73.94
277,GJ 9689 b,0.03036,,18.27
278,GJ 9827 b,0.01532,0.13641,1.2089765
279,GJ 9827 c,0.00604,0.107,3.648086
280,GJ 9827 d,0.01076,0.17441,6.20183
281,GQ Lup b,0.013,1.8,
282,GU Psc b,11.0,1.35,
283,Gaia-1 b,1.68,1.229,3.042524
284,Gaia-2 b,0.773,1.327,3.6915237
285,Gl 378 b,0.04097,,3.822
286,Gl 514 b,0.0164,,140.43
287,Gl 686 b,0.02029,,15.53
288,Gliese 49 b,0.01771,,13.8508
289,HAT-P-1 b,0.525,1.319,4.46529976
290,HAT-P-10 A b,0.46,1.045,3.722469
291,HAT-P-11 b,0.0736,0.389,4.887802443
292,HAT-P-11 c,1.595,,3397.0
293,HAT-P-12 b,0.210489884529,0.949,3.2130598
294,HAT-P-13 b,0.85,1.28,2.916243
295,HAT-P-14 b,2.444,1.01,4.627686
296,HAT-P-15 b,1.946,1.072,10.863502
297,HAT-P-16 b,4.193,1.289,2.77596
298,HAT-P-17 b,0.534,1.01,10.338523
299,HAT-P-17 c,1.4,,1798.0
300,HAT-P-18 b,0.183,0.947,5.508029
301,HAT-P-19 b,0.292,1.132,4.008784
302,HAT-P-2 b,8.74,0.951,5.6334729
303,HAT-P-20 b,7.246,0.867,2.875317
304,HAT-P-21 b,4.063,1.024,4.124461
305,HAT-P-22 b,2.147,1.08,3.21222
306,HAT-P-23 b,2.09,1.368,1.212884
307,HAT-P-24 b,0.685,1.242,3.35524
308,HAT-P-25 b,0.567,1.19,3.652836
309,HAT-P-26 b,0.0585,0.5647,4.234516
310,HAT-P-27 b,0.66,1.055,3.0395803
311,HAT-P-28 b,0.626,1.212,3.257215
312,HAT-P-29 b,0.778,1.107,5.723186
313,HAT-P-3 b,0.591,0.827,2.899703
314,HAT-P-30 b,0.711,1.34,2.810595
315,HAT-P-31 b,2.171,1.07,5.005425
316,HAT-P-32 b,0.75,1.789,2.15000825
317,HAT-P-33 b,0.763,1.827,3.474474
318,HAT-P-34 b,3.328,1.107,5.452654
319,HAT-P-35 b,1.054,1.332,3.646706
320,HAT-P-36 b,1.832,1.264,1.327347
321,HAT-P-37 b,1.169,1.178,2.797436
322,HAT-P-38 b,0.267,0.825,4.640382
323,HAT-P-39 b,0.599,1.571,3.54387
324,HAT-P-4 b,0.68,1.27,3.0565114
325,HAT-P-40 b,0.615,1.73,4.457243
326,HAT-P-41 b,0.8,1.685,2.694047
327,HAT-P-42 b,0.975,1.277,4.641876
328,HAT-P-43 b,0.66,1.283,3.332688
329,HAT-P-44 b,0.392,1.28,4.301217
330,HAT-P-44 c,1.6,,219.9
331,HAT-P-45 b,0.892,1.426,3.128992
332,HAT-P-46 b,0.493,1.284,4.463129
333,HAT-P-46 c,2.0,,77.7
