source_id,ra,dec,parallax,pm,pmra,pmdec,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,l,b,non_single_star,has_rvs,teff_gspphot,logg_gspphot
659413750659083776,130.07994232502455,18.21135483769104,5.704162472324796,37.333336,-35.2193057506305,-12.384610260834936,670.587218631982,18.62123,95.6923937405492,20.386349,942.6723243618319,17.311995,3.0743542,1.7651196,1.3092346,,"NOT_AVAILABLE",207.52071766376187,31.95199714304819,0,false,3070.9465,5.0359
659414785747258880,130.23274558545853,18.246114231463714,5.41857180368007,39.22772,-36.77283447370873,-13.659151676102876,3741.41828548397,16.754776,538.8545256824893,18.509863,5116.101229230809,15.475548,3.034315,1.7550869,1.2792282,,"NOT_AVAILABLE",207.5441428245962,32.09990902302391,0,false,3390.1216,4.7738
659415129344636544,130.2936592985013,18.268587283148975,5.594857504788239,38.976734,-36.90225913551589,-12.546276243288945,11663.280694905648,15.520315,2549.5458434401235,16.822386,13915.899805071289,14.389117,2.4332685,1.3020706,1.1311979,16.232792,"NOT_AVAILABLE",207.5439610902113,32.16196801809482,0,false,3516.0986,4.5275
659427464490677632,129.71168174122158,18.01451954625679,5.4310028434573585,36.857723,-35.14650630513003,-11.100221637744955,3871.50559588562,16.717667,675.5858423437786,18.264341,4951.722784259166,15.511004,2.753337,1.5466747,1.2066622,,"NOT_AVAILABLE",207.58761306183547,31.554484289948626,0,false,3416.5173,4.8186
659428731504648960,129.84525710986702,18.0759243727332,5.571151842408575,37.747906,-35.97830870396474,-11.422163356738261,501.9099144162683,18.935802,43.92621589569414,21.231733,744.1983691048889,17.568674,3.6630592,2.2959309,1.3671284,,"NOT_AVAILABLE",207.57448797835627,31.69511125737496,0,false,2825.7717,4.7779
659432034335876352,129.62784639200282,18.121216671137507,5.451651995582535,38.889843,-36.95722535180389,-12.107167991142063,2063.844056584169,17.400675,,,,,,,,,"NOT_AVAILABLE",207.43704073132744,31.518888281018732,0,false,,
659436153207801344,129.906145677812,18.17034565953413,5.352637917039327,36.998295,-35.29072549662506,-11.110285950173466,286752.771429755,12.043598,137925.92803783517,12.489428,210925.03387361788,11.437575,1.0518522,0.4458294,0.60602283,36.69791,"VARIABLE",207.495591686423,31.783213477197673,0,false,5130.329,4.5409
659439078082230016,129.795520885907,18.175935282173857,5.623993783014824,39.160633,-37.28191589612863,-11.98390267937123,1689495.8936561658,10.117974,957306.5125438038,10.385915,1052075.4696259594,9.692779,0.6931362,0.26794052,0.4251957,35.45472,"NOT_AVAILABLE",207.44481579686948,31.687225095429387,0,false,6150.128,4.2947
659441242745739648,129.86424206947555,18.248736665736477,5.424633528040224,36.3535,-34.51326691812267,-11.41978378294668,2385.255154036906,17.24353,372.7173018822408,18.910093,3221.331293223192,15.977807,2.9322863,1.666563,1.2657232,,"NOT_AVAILABLE",207.39269262133266,31.774380052870857,0,false,,
659443819726136704,129.62763923415696,18.121722432764166,5.5511741795890615,35.835915,-33.889654686857945,-11.649204733012258,19346.696811512007,14.97085,4201.5562042796355,16.280016,23989.05244941716,13.797863,2.482153,1.309166,1.172987,39.06722,"NOT_AVAILABLE",207.43640407216085,31.51888790556492,0,false,,
659445743871414528,129.6429333559165,18.18802096661072,5.5968272319631724,39.0078,-37.17757306263972,-11.808329890831633,22110.64818965213,14.825863,5974.6065213844295,15.897769,23937.984037256934,13.800177,2.0975924,1.0719061,1.0256863,38.88398,"VARIABLE",207.3700545592578,31.556422619895454,0,false,,
659452272221698432,129.70703803938113,18.26581015315567,5.358541989345123,37.279583,-35.53449949838832,-11.272379200049688,224654.25724500688,12.30858,104669.76898674962,12.788989,169731.13688579254,11.6734915,1.1154976,0.48040867,0.6350889,34.34533,"NOT_AVAILABLE",207.3106962732022,31.641289916520574,0,false,4980.468,4.5623
659463881517438720,130.22455701612262,18.382344809554187,5.818947939327679,37.196453,-35.26121265284024,-11.841581828549327,519.0190804687172,18.899408,69.44535125584676,20.734434,784.0455200149107,17.512043,3.2223911,1.8350258,1.3873653,,"NOT_AVAILABLE",207.39073511766586,32.14160523298151,0,false,2932.1277,4.8827
659464122035016320,130.1421823680754,18.35912430622045,5.569575846986292,38.234924,-36.4599033677458,-11.514551466731458,1888.5731743341669,17.497032,272.01392974298676,19.252064,2530.7351530394476,16.239779,3.0122852,1.7550316,1.2572536,,"NOT_AVAILABLE",207.38320304798287,32.0603029505581,0,false,,
659466222275521792,129.95647966167485,18.347377160358484,5.334380785202341,36.984524,-35.08494714730737,-11.700487967746062,4578740.78619708,9.0355015,2846429.5648679896,9.202791,2546549.7633579094,8.733015,0.46977615,0.16728973,0.30248642,38.81819,"NOT_AVAILABLE",207.32148123255132,31.891592677125082,0,false,6943.0244,4.0857
659467871542951552,130.1292809522229,18.432214458360537,5.324816782633403,36.2024,-34.238028718126664,-11.76312707902935,8088.878639667717,15.917646,1711.8162870722263,17.2549,9745.691538508045,14.775864,2.4790363,1.3372536,1.1417828,,"NOT_AVAILABLE",207.29751076128244,32.075092919090444,0,false,3559.6309,4.7607
659468215140335104,130.1015271286218,18.453759956828627,5.661396972936369,35.418213,-32.98948467109931,-12.889673089550417,531288.5267011157,11.374041,261207.22880870293,11.79608,383708.807133544,10.787891,1.0081882,0.42203903,0.5861492,31.266445,"NOT_AVAILABLE",207.26264282945976,32.0582318148795,3,false,,
659472235229782912,130.38123718011528,18.500561032271165,5.4937110173796935,38.566605,-36.289945645016665,-13.054612605247737,1478489.6717730437,10.262821,836053.0456564054,10.532958,925044.4607720951,9.832489,0.700469,0.27013683,0.43033218,34.79982,"VARIABLE",207.3231458725598,32.32270855583569,0,true,6060.519,4.3042
659477865932633344,130.279970491452,18.6267042176471,5.869468767273224,9.06436,-8.721319362587021,-2.4700609315568895,113.47333472937929,20.550133,37.13617147261526,21.41405,154.04682462981313,19.278763,2.1352863,0.8639164,1.2713699,,"NOT_AVAILABLE",207.1432117576966,32.278031088360365,0,false,,
659483573941736704,129.82736850835394,18.522755257074238,5.391830806639608,9.187601,6.474416290250843,-6.518738474684239,93.83653627850568,20.756437,47.13929000596321,21.155085,80.73273044029217,19.980272,1.1748123,0.3986473,0.776165,,"NOT_AVAILABLE",207.07698784410985,31.84017479925054,0,false,,
