solution_id,ra,dec,parallax,pm,pmra,pmdec,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,l,b,non_single_star,has_rvs,teff_gspphot,logg_gspphot
1636148068921376768,66.09326952772372,17.07883604085962,19.95899563246898,103.38841,99.88705024230197,-26.678483809607272,3.40861840022986E7,6.855921,2.022271764972747E7,7.0739436,2.0231441198432785E7,6.4828286,0.591115,0.21802282,0.37309217,38.614384,"NOT_AVAILABLE",178.6366477840115,-22.04257691136404,0,true,6431.202,4.1848
1636148068921376768,69.02238770364617,15.683897520258279,19.993054066507124,98.37721,95.39931453844356,-24.021810990797796,4147892.267792444,9.142798,2022179.8087812448,9.573993,3025878.9135008813,8.545767,1.0282259,0.4311943,0.5970316,40.675766,"VARIABLE",181.6936975639984,-20.723453936653332,0,true,5101.92,4.519
1636148068921376768,67.80201539742441,17.161322981312146,20.008532547772884,109.06181,64.47501924930121,-87.9627810550844,7654.170210881513,15.977622,673.9040107019425,18.267048,11368.13237949665,14.608673,3.6583748,2.2894258,1.3689489,,"NOT_AVAILABLE",179.67834757699688,-20.726228944542058,0,false,,
1636148068921376768,67.6415947161492,14.747976746494444,20.132587476239593,98.55744,97.18962516286848,-16.36292548313833,63784.99036605226,13.6755705,14132.879224354128,14.962966,100025.18377633572,12.2476225,2.7153435,1.2873955,1.427948,37.088493,"NOT_AVAILABLE",181.60538715012984,-22.3496157430487,0,false,,
1636148068921376768,67.33120355610757,17.605598648750995,20.17387733724134,120.74414,81.00291320221233,-89.54146920397312,7736.151056690167,15.966055,668.2766276737126,18.276152,11691.868280391836,14.578186,3.6979656,2.3100967,1.3878689,,"NOT_AVAILABLE",179.0066778926505,-20.795530496414226,0,false,,
1636148068921376768,67.87268564180225,13.903399057854472,20.27674708776159,86.82244,86.6072874406941,-6.108541034740216,1.6507054994527712E7,7.643193,9387265.100536624,7.9071946,1.0356578832875837E7,7.2098546,0.69734,0.26400185,0.43333817,39.377365,"NOT_AVAILABLE",182.47524088035104,-22.69284983075457,3,true,6053.044,4.3125
1636148068921376768,64.3677423441332,14.900983314066778,20.282956302607193,107.2537,105.84047506258158,-17.3536926911853,93858.32709063742,13.256185,18394.500798419693,14.676823,116409.98022924579,12.08292,2.5939026,1.4206381,1.1732645,,"NOT_AVAILABLE",179.30116875748055,-24.711314378037425,0,false,,
1636148068921376768,68.55438320400094,15.181892311194385,20.302162871750077,127.96837,33.234610208009585,-123.5773588999945,14573.072040953211,15.278489,2383.7275486449116,16.895401,18899.0052252573,14.056798,2.838603,1.6169119,1.2216911,34.846172,"NOT_AVAILABLE",181.82223113733906,-21.38763557524349,0,false,,
1636148068921376768,65.73422490902678,17.542390757517502,20.30919733178576,109.76267,106.21194808573482,-27.692344422611363,7.388039020904382E8,3.516044,3.2361939916844434E8,4.063456,5.606720707321498E8,2.8761232,1.1873329,0.54741216,0.6399207,,"NOT_AVAILABLE",178.01583278659234,-22.008305642633665,0,false,,
1636148068921376768,67.79637749253605,16.39576252180493,20.316503143723228,101.84244,98.79967538236876,-24.70843360310259,57329.115459495515,13.791429,10018.031643080712,15.336586,73540.8668559905,12.5815735,2.7550125,1.5451574,1.2098551,33.74537,"NOT_AVAILABLE",180.3143512482455,-21.209355999048025,0,false,,
1636148068921376768,65.39669553192954,14.695153868168017,20.326692831232425,108.3091,106.49657261059144,-19.73171837672036,36596.30565847944,14.278773,5899.0632624848695,15.911585,47818.00443959777,13.048917,2.862668,1.6328115,1.2298565,39.039967,"NOT_AVAILABLE",180.17183151644426,-24.07625370134987,0,false,3005.0017,4.2916
1636148068921376768,66.89982826692787,15.588278972732542,20.350619191679996,107.21834,101.89392939555249,-33.36764773349423,12468.628316589331,15.44782,,,,,,,,,"NOT_AVAILABLE",180.41232074466708,-22.386865834141474,0,false,,
1636148068921376768,66.94644176768678,14.417664583381967,20.352565293817054,102.36692,100.55014107182478,-19.20040671441904,3868846.2849226436,9.218413,1831965.048951876,9.68125,2898859.8913078816,8.592327,1.0889225,0.46283627,0.62608624,,"VARIABLE",181.43446300849763,-23.082316352777603,0,false,4969.003,4.5135
1636148068921376768,66.85605547720428,14.260578556388577,20.42227991360521,104.38371,102.45836199187342,-19.956020786554035,1838631.065110011,10.026131,769605.9051107421,10.622871,1521646.0579272984,9.292111,1.33076,0.5967407,0.7340193,39.3912,"NOT_AVAILABLE",181.50916741456345,-23.24853157139869,0,true,,
1636148068921376768,66.11822759101871,15.88417682534391,20.427173906644025,101.84018,97.93689390469106,-27.924670732472297,57999.683989353616,13.778803,10962.749125101085,15.238744,81933.71193469106,12.464239,2.7745047,1.4599409,1.3145638,37.549454,"NOT_AVAILABLE",179.6499440112112,-22.784404579528534,0,true,,
1636148068921376768,65.23411332349541,14.859496095395018,20.600621399663094,112.09121,110.08201071512241,-21.127957778586953,16748.52833480902,15.127425,2187.263889939836,16.988789,23041.674898053167,13.84161,3.1471786,1.8613634,1.2858152,38.916958,"NOT_AVAILABLE",179.92343729265437,-24.093495257470394,0,false,3068.235,4.9841
1636148068921376768,68.40865079618047,16.762386244728727,20.61556113871976,101.26,97.99880517969228,-25.49159863900907,4094067.025832373,9.15698,1971611.4177404896,9.601489,3018365.8629497634,8.548466,1.0530233,0.4445095,0.60851383,40.428852,"VARIABLE",180.39834701082287,-20.521891228114036,0,false,5032.8716,4.5174
1636148068921376768,68.49438499286096,15.16352719505778,20.64126832294862,112.99653,108.03672531476836,-33.11013701066008,9134408.59468979,8.2856655,4524205.949463808,8.699686,6751172.033581188,7.6744475,1.0252385,0.41402054,0.611218,40.226048,"NOT_AVAILABLE",181.79962125726064,-21.444621712068436,0,false,5125.9937,4.2316
1636148068921376768,66.20070596676636,15.874649203665436,20.678332758167166,101.09182,100.34452068045356,-12.269188261040469,556233.3505016553,11.324224,248667.51494786568,11.849495,848263.7455586442,9.926568,1.9229269,0.52527046,1.3976564,38.570206,"NOT_AVAILABLE",179.71243071909345,-22.72905269545068,0,false,,
