source_id,ra,dec,parallax,pm,pmra,pmdec,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,l,b,non_single_star,has_rvs,teff_gspphot,logg_gspphot
4037328601920829952,269.3429082607874,-36.67103718651017,3.1370759066202236,3.611544,3.1701319205590788,1.7301770486606947,1922.9719765705822,17.477434,989.4057208146015,17.850105,1817.7654305529188,16.59905,1.2510548,0.37267113,0.87838364,,"NOT_AVAILABLE",354.58207055625286,-6.054778510983915,0,false,,
4042089246770454912,270.1085500573947,-34.77394310158611,3.1370765766124635,6.8692584,-6.3580821143854775,-2.600289352248195,589.7245420118314,18.760744,,,,,,,,,"NOT_AVAILABLE",356.55027977376903,-5.665163381786216,0,false,,
4040523817056240768,268.81464027029097,-35.725258908285085,3.1370854564181125,8.490929,-8.44722904177252,-0.8603407450438485,332.72912221930187,19.38214,,,,,,,,,"NOT_AVAILABLE",355.19526219485203,-5.215822779488361,0,false,,
4037352687994503680,270.21417146125043,-36.69329962211682,3.1370865028000203,9.162129,-4.77944331803587,-7.816747312865118,127.23887276056136,20.425817,770.4020655730077,18.121748,704.2898276149605,17.628517,0.49323082,-2.3040695,2.7973003,,"NOT_AVAILABLE",354.90634257533304,-6.675135196614979,0,false,,
4042278495902206720,269.5152333693056,-34.4845293786087,3.137090226422765,8.213842,-2.942414498152196,-7.6687292803112115,234.73546256417652,19.76092,,,,,,,,,"NOT_AVAILABLE",356.5623916539402,-5.097747678413485,0,false,,
4041782684907854848,266.38299350586084,-34.16007558610461,3.13709432262917,3.28709,-3.265322073675837,-0.3776668189433566,538.7329365020836,18.858932,281.74668637686307,19.213896,1175.6472647680769,17.072203,2.141693,0.3549633,1.7867298,,"NOT_AVAILABLE",355.52837592946724,-2.7035023703675507,0,false,,
4040486880283244928,269.43614381169937,-35.76135915915389,3.1370966160369296,5.8145986,5.803944687748366,-0.35182744934607707,216.21802521219584,19.850138,,,,,,,,,"NOT_AVAILABLE",355.41498364783854,-5.6718028362568536,0,false,,
4040497153937627392,269.75296957561835,-35.51634759905184,3.137100483163945,6.250272,-4.563089799380995,-4.2713125375967165,214.23061499476452,19.860163,,,,,,,,,"NOT_AVAILABLE",355.75667860177896,-5.775414183797421,0,false,,
4042376391058793216,269.30231328177223,-33.894285625427884,3.1371057956966077,9.330571,-2.486687909733293,-8.993105080545362,336.8931104180388,19.368637,,,,,,,,,"NOT_AVAILABLE",356.98946051783355,-4.652397125629722,0,false,,
4043220708796086784,268.5571440764565,-33.20115649317275,3.1371108648567216,7.53216,-3.947885379991901,-6.414642262983469,247.32735622205206,19.704187,181.0794401904178,19.693869,766.5359398322034,17.536564,2.1573048,-0.010318756,2.1676235,,"NOT_AVAILABLE",357.28022787599326,-3.7680771045450636,0,false,,
4041082437621921024,266.25547401018525,-35.61137263223638,3.1371140136820865,6.4316325,-4.954683425624295,-4.100854461934687,268.0210320927059,19.616945,121.35590585283128,20.12839,492.25780285105157,18.017414,2.1109753,0.5114441,1.5995312,,"NOT_AVAILABLE",354.2322555074397,-3.368338243480756,0,false,,
